dataset_kind,participant_id,sequence,period,condition,device,theme,visual_aesthetics,task_success_rate,error_count,reuse_intention,included,exclusion_reason
synthetic,P001,uniform-section-adaptive,1,uniform,mobile,dark,4.2,0.875,2,4.3,yes,
synthetic,P001,uniform-section-adaptive,2,section-adaptive,mobile,dark,5.0,0.875,1,5.1,yes,
synthetic,P002,section-adaptive-uniform,1,section-adaptive,desktop,light,5.0,1,1,5.0,yes,
synthetic,P002,section-adaptive-uniform,2,uniform,desktop,light,4.5,0.875,1,4.5,yes,
synthetic,P003,uniform-section-adaptive,1,uniform,mobile,light,4.0,0.75,2,4.0,yes,
synthetic,P003,uniform-section-adaptive,2,section-adaptive,mobile,light,4.6,0.875,2,4.8,yes,
synthetic,P004,section-adaptive-uniform,1,section-adaptive,desktop,dark,5.1,1,0,5.2,yes,
synthetic,P004,section-adaptive-uniform,2,uniform,desktop,dark,4.7,1,0,4.8,yes,
synthetic,P005,uniform-section-adaptive,1,uniform,mobile,dark,3.9,0.75,3,3.8,yes,
synthetic,P005,uniform-section-adaptive,2,section-adaptive,mobile,dark,4.7,0.875,2,4.9,yes,
synthetic,P006,section-adaptive-uniform,1,section-adaptive,tablet,light,4.8,0.875,1,4.9,yes,
synthetic,P006,section-adaptive-uniform,2,uniform,tablet,light,4.4,0.875,1,4.4,yes,
synthetic,P007,uniform-section-adaptive,1,uniform,mobile,light,4.1,0.875,2,4.2,yes,
synthetic,P007,uniform-section-adaptive,2,section-adaptive,mobile,light,4.9,1,1,5.2,yes,
synthetic,P008,section-adaptive-uniform,1,section-adaptive,desktop,dark,5.0,1,0,5.1,yes,
synthetic,P008,section-adaptive-uniform,2,uniform,desktop,dark,4.6,1,0,4.7,yes,
synthetic,P009,uniform-section-adaptive,1,uniform,mobile,dark,4.3,0.875,1,4.3,yes,
synthetic,P009,uniform-section-adaptive,2,section-adaptive,mobile,dark,4.9,0.875,1,5.0,yes,
synthetic,P010,section-adaptive-uniform,1,section-adaptive,desktop,light,4.7,0.875,1,4.8,yes,
synthetic,P010,section-adaptive-uniform,2,uniform,desktop,light,4.0,0.75,2,4.0,yes,
synthetic,P011,uniform-section-adaptive,1,uniform,mobile,light,4.8,1,0,4.8,yes,
synthetic,P011,uniform-section-adaptive,2,section-adaptive,mobile,light,5.2,1,0,5.3,yes,
synthetic,P012,section-adaptive-uniform,1,section-adaptive,tablet,dark,4.9,1,1,5.0,yes,
synthetic,P012,section-adaptive-uniform,2,uniform,tablet,dark,4.2,0.875,1,4.2,yes,
